store_number,store_url,name,street,city,state,postal_code,country,phone,facility_type,latitude,longitude,hours,complete_address
3760,https://www.nike.com/retail/s/耐克杭州紫丁香换季优惠店,NIKE杭州紫丁香换季优惠店,江干区惠兰雅路572号物美大卖场一楼  ,杭州,浙江省,310016,CN,+86 571-87069290,NIKE_OWNED_STORE,30.3552,120.22947,"monday:08:00 - 10:00, tuesday:08:00 - 10:00, wednesday:08:00 - 10:00, thursday:08:00 - 10:00, friday:08:00 - 10:00, saturday:08:00 - 10:00, sunday:08:00 - 10:00",江干区惠兰雅路572号物美大卖场一楼   杭州 浙江省 310016
3616,https://www.nike.com/retail/s/耐克广州发发换季优惠店,NIKE广州发发换季优惠店,天河区奥体南路12号高德美居奥体新城四期天河城百货二层B001  ,广州,广东省,510663,CN,+86 20-82168557,NIKE_OWNED_STORE,23.129549,113.416737,"monday:11:30 - 09:30, tuesday:11:30 - 09:30, wednesday:11:30 - 09:30, thursday:11:30 - 09:30, friday:11:30 - 09:30, saturday:10:30 - 09:30, sunday:10:30 - 09:30",天河区奥体南路12号高德美居奥体新城四期天河城百货二层B001   广州 广东省 510663
9458,https://www.nike.com/retail/s/nike-jamnagar,Nike Jamnagar,"Shop No.64 to 68, Neo Square Complex, Nr.Ambar Cinema, P.N.Marg  ",Jamnagar,Gujarat,361008,IN,1-800-344-6453,MONO_BRAND_NON_FRANCHISEE_PARTNER_STORE,22.4756245,70.0664737,"monday:10:30 - 09:30, tuesday:10:30 - 09:30, wednesday:10:30 - 09:30, thursday:10:30 - 09:30, friday:10:30 - 09:30, saturday:10:30 - 09:30, sunday:10:30 - 09:30","Shop No.64 to 68, Neo Square Complex, Nr.Ambar Cinema, P.N.Marg   Jamnagar Gujarat 361008"
523131,https://www.nike.com/retail/s/jordan-128-zhongjie,JORDAN 128 ZHONGJIE,辽宁省沈阳市沈河区中街路128号皇城恒隆广场1层  ,沈阳,辽宁,110000,CN,+15841816660,FRANCHISEE_PARTNER_STORE,41.802362,123.455195,"monday:10:00 - 10:00, tuesday:10:00 - 10:00, wednesday:10:00 - 10:00, thursday:10:00 - 10:00, friday:10:00 - 10:00, saturday:10:00 - 10:00, sunday:10:00 - 10:00",辽宁省沈阳市沈河区中街路128号皇城恒隆广场1层   沈阳 辽宁 110000
2476,https://www.nike.com/retail/s/nike-store-stockholm-gallerian-ii,Nike Store Stockholm Gallerian II (Partnered),Hamngatan 37 Unit # 031 121 Plan 3,Stockholm,,111 53,SE,+49,FRANCHISEE_PARTNER_STORE,59.331290639,18.06814485,"monday:10:00 - 08:00, tuesday:10:00 - 08:00, wednesday:10:00 - 08:00, thursday:10:00 - 08:00, friday:10:00 - 08:00, saturday:10:00 - 06:00, sunday:11:00 - 06:00",Hamngatan 37 Unit # 031 121 Plan 3 Stockholm  111 53
4735,https://www.nike.com/retail/s/nike-mantri-mall,Nike Mantri Mall,"F-18, 1st Floor, Municipal No. 1,II, Main Rd, Malleswaram W.26 Bangalore",Bengaluru,Karnataka,560003,IN,1-800-344-6453,MONO_BRAND_NON_FRANCHISEE_PARTNER_STORE,12.9917524,77.5707216,"monday:10:30 - 09:30, tuesday:10:30 - 09:30, wednesday:10:30 - 09:30, thursday:10:30 - 09:30, friday:10:30 - 09:30, saturday:10:30 - 09:30, sunday:10:30 - 09:30","F-18, 1st Floor, Municipal No. 1,II, Main Rd, Malleswaram W.26 Bangalore Bengaluru Karnataka 560003"
4002,https://www.nike.com/retail/s/耐克遵义温州换季优惠店,NIKE遵义温州换季优惠店,温州路6号自游港奥特莱斯 B-LG-12-2 B-LG-12-3 B-LG-12单元 ,遵义,贵州省,563099,CN,+86 851-28761698,NIKE_OWNED_STORE,27.696167,106.905875,"monday:10:00 - 09:00, tuesday:10:00 - 09:00, wednesday:10:00 - 09:00, thursday:10:00 - 09:00, friday:10:00 - 09:00, saturday:10:00 - 09:00, sunday:10:00 - 09:00",温州路6号自游港奥特莱斯 B-LG-12-2 B-LG-12-3 B-LG-12单元  遵义 贵州省 563099
3017,https://www.nike.com/retail/s/nike-factory-store-rinku,Nike Unite Rinku,りんくう往来南4-17 りんくう プレミアム･アウトレット7700 ,泉佐野市,大阪府,598-8509,JP,+81 72 458 4681,NIKE_OWNED_STORE,34.407841,135.294716,"monday:10:00 - 07:00, tuesday:10:00 - 07:00, wednesday:10:00 - 07:00, thursday:10:00 - 07:00, friday:10:00 - 07:00, saturday:10:00 - 07:00, sunday:10:00 - 07:00",りんくう往来南4-17 りんくう プレミアム･アウトレット7700  泉佐野市 大阪府 598-8509
3718,https://www.nike.com/retail/s/耐克无锡欣荣换季优惠店,NIKE无锡欣荣换季优惠店,新区锡勤路18号-28号百联奥特莱斯1层 B3-101，B3-102、2层B3-204商铺 ,无锡,江苏省,214028,CN,+86 510-88551713,NIKE_OWNED_STORE,31.520186,120.446549,"monday:10:00 - 09:00, tuesday:10:00 - 09:00, wednesday:10:00 - 09:00, thursday:10:00 - 09:00, friday:10:00 - 10:00, saturday:10:00 - 10:00, sunday:10:00 - 10:00",新区锡勤路18号-28号百联奥特莱斯1层 B3-101，B3-102、2层B3-204商铺  无锡 江苏省 214028
987,https://www.nike.com/retail/s/parque-montigala-nike-factory-store,Nike Factory Store Parque Montigala,"Avinguda de la Comunitat Europea, 5  ",Badalona,Catalonia,08916,ES,+34 934 976 288,NIKE_OWNED_STORE,41.45658,2.22252,"monday:09:30 - 08:30, tuesday:09:30 - 08:30, wednesday:09:30 - 08:30, thursday:09:30 - 08:30, friday:09:30 - 08:30, saturday:09:30 - 08:30, sunday:Closed","Avinguda de la Comunitat Europea, 5   Badalona Catalonia 08916"
UKR057,https://www.nike.com/retail/s/nike-preobrazhenskaya,Nike Preobrazhenska,"34, Preobrazhenska St.  ",Odesa,,65000,UA,380482390252,FRANCHISEE_PARTNER_STORE,46.484281,30.732595,"monday:10:00 - 09:00, tuesday:10:00 - 09:00, wednesday:10:00 - 09:00, thursday:10:00 - 09:00, friday:10:00 - 09:00, saturday:10:00 - 09:00, sunday:10:00 - 09:00","34, Preobrazhenska St.   Odesa  65000"
37810,https://www.nike.com/retail/s/nike-shinsaegae-gangnam,나이키 신세계 강남,신반포로 176 신세계백화점  8층  ,서초구,서울특별시,06546,KR,02-3479-1947,FRANCHISEE_PARTNER_STORE,37.50415,127.00306,"monday:10:30 - 07:30, tuesday:10:30 - 07:30, wednesday:10:30 - 07:30, thursday:10:30 - 07:30, friday:10:30 - 08:30, saturday:10:30 - 08:30, sunday:10:30 - 08:30",신반포로 176 신세계백화점  8층   서초구 서울특별시 06546
194717,https://www.nike.com/retail/s/耐克北京悠唐购物中心kicks-lounge体验店,耐克北京悠唐购物中心KICKS LOUNGE体验店,北京市朝阳区三丰北里5号楼悠唐购物中心1层耐克 KICKS LOUNGE专柜  ,北京,北京,100020,CN,+010-85306985,MONO_BRAND_NON_FRANCHISEE_PARTNER_STORE,39.921725,116.438991,"monday:10:00 - 10:00, tuesday:10:00 - 10:00, wednesday:10:00 - 10:00, thursday:10:00 - 10:00, friday:10:00 - 10:00, saturday:10:00 - 10:00, sunday:10:00 - 10:00",北京市朝阳区三丰北里5号楼悠唐购物中心1层耐克 KICKS LOUNGE专柜   北京 北京 100020
4867,https://www.nike.com/retail/s/nike-north-edsa,Nike North Edsa,2F SM City North Edsa  ,Quezon City,Metro Manila,1105,PH,+6325881203,MONO_BRAND_NON_FRANCHISEE_PARTNER_STORE,14.6565355,121.0312559,"monday:10:00 - 09:00, tuesday:10:00 - 09:00, wednesday:10:00 - 09:00, thursday:10:00 - 09:00, friday:10:00 - 09:00, saturday:10:00 - 09:00, sunday:10:00 - 09:00",2F SM City North Edsa   Quezon City Metro Manila 1105
246709,https://www.nike.com/retail/s/耐克唐山万达广场体验店,耐克唐山万达广场体验店,河北省唐山市路南区新华东道100号万达广场一层西段耐克店  ,唐山,河北,063000,CN,+86 17303150246,FRANCHISEE_PARTNER_STORE,39.6244,118.1867,"monday:09:00 - 09:00, tuesday:09:00 - 09:00, wednesday:09:00 - 09:00, thursday:09:00 - 09:00, friday:09:00 - 10:00, saturday:09:00 - 10:00, sunday:09:00 - 09:00",河北省唐山市路南区新华东道100号万达广场一层西段耐克店   唐山 河北 063000
59800,https://www.nike.com/retail/s/nike-moda-cheonan,나이키 모다 천안,서북구 공원로 196  ,천안시,충청남도,31168,KR,041-900-0001,FRANCHISEE_PARTNER_STORE,36.79835,127.10151,"monday:11:00 - 09:00, tuesday:11:00 - 09:00, wednesday:11:00 - 09:00, thursday:11:00 - 09:00, friday:11:00 - 09:00, saturday:11:00 - 09:00, sunday:11:00 - 09:00",서북구 공원로 196   천안시 충청남도 31168
72442,https://www.nike.com/retail/s/nike-lotte-gimpo-sky-park,나이키 롯데 김포,하늘길 38 롯데백화점김포공항점 B2  ,강서구,서울특별시,07505,KR,+82 2 6116 3455,FRANCHISEE_PARTNER_STORE,37.562818,126.803021,"monday:10:30 - 09:30, tuesday:10:30 - 09:30, wednesday:10:30 - 09:30, thursday:10:30 - 09:30, friday:10:30 - 09:30, saturday:10:30 - 09:30, sunday:10:30 - 09:30",하늘길 38 롯데백화점김포공항점 B2   강서구 서울특별시 07505
3755,https://www.nike.com/retail/s/耐克西安保税换季优惠店,NIKE西安保税换季优惠店,港务区港兴路华南城D门一层耐克换季优惠店  ,西安,陕西省,710026,CN,+86 29-68202996,NIKE_OWNED_STORE,34.357132,109.046832,"monday:09:30 - 08:30, tuesday:09:30 - 08:30, wednesday:09:30 - 08:30, thursday:09:30 - 08:30, friday:09:30 - 08:30, saturday:09:30 - 08:30, sunday:09:30 - 08:30",港务区港兴路华南城D门一层耐克换季优惠店   西安 陕西省 710026
2312,https://www.nike.com/retail/s/nike-only-mall-of-africa,NIKE ONLY MALL OF AFRICA,JOHANNESBURG  ,ZAF,,1686,ZA,+1 800 344 6453,FRANCHISEE_PARTNER_STORE,-26.2041028,28.0473051,"monday:08:00 - 08:00, tuesday:08:00 - 08:00, wednesday:08:00 - 08:00, thursday:08:00 - 08:00, friday:08:00 - 08:00, saturday:08:00 - 08:00, sunday:08:00 - 08:00",JOHANNESBURG   ZAF  1686
3702,https://www.nike.com/retail/s/nike温州永定换季优惠店,NIKE温州永定换季优惠店,龙湾区永中街道永定路1188号万达广场  ,温州,浙江省,325000,CN,+86 577-55590258,NIKE_OWNED_STORE,27.920507,120.809991,"monday:10:00 - 10:00, tuesday:10:00 - 10:00, wednesday:10:00 - 10:00, thursday:10:00 - 10:00, friday:10:00 - 10:00, saturday:10:00 - 10:00, sunday:10:00 - 10:00",龙湾区永中街道永定路1188号万达广场   温州 浙江省 325000
6408,https://www.nike.com/retail/s/nike-factory-store-puente-alto,Nike Factory Store - Puente Alto,Av. Concha Y Toro 1477  ,Puente Alto,Región Metropolitana,8180158,CL,+56 2 366 2950,NIKE_OWNED_STORE,-33.597054,-70.578011,"monday:10:00 - 08:00, tuesday:10:00 - 08:00, wednesday:10:00 - 08:00, thursday:10:00 - 08:00, friday:10:00 - 08:00, saturday:10:00 - 08:00, sunday:10:00 - 08:00",Av. Concha Y Toro 1477   Puente Alto Región Metropolitana 8180158
23,https://www.nike.com/retail/s/nike-clearance-store-pigeon-forge,Nike Clearance Store - Pigeon Forge,"The Tower Shops at the Mountain Mile 2655 Teaster Lane, Suite 305 ",Pigeon Forge,TN,37863,US,+1 (865) 453-7907,NIKE_OWNED_STORE,35.8065414595155,-83.5703607193211,"monday:10:00 - 07:00, tuesday:10:00 - 07:00, wednesday:10:00 - 07:00, thursday:10:00 - 07:00, friday:10:00 - 09:00, saturday:10:00 - 09:00, sunday:10:00 - 07:00","The Tower Shops at the Mountain Mile 2655 Teaster Lane, Suite 305  Pigeon Forge TN 37863"
6406,https://www.nike.com/retail/s/nike-factory-store-concepcion,Nike Factory Store - Concepcion,Av. Portal de San Pedro 4850 San Pedro de la Paz ,Concepcion,Region Del Bio,4121725,CL,+56 41 2366 2990,NIKE_OWNED_STORE,-36.88769,-73.141137,"monday:10:00 - 08:00, tuesday:10:00 - 08:00, wednesday:10:00 - 08:00, thursday:10:00 - 08:00, friday:10:00 - 08:00, saturday:10:00 - 08:00, sunday:10:00 - 08:00",Av. Portal de San Pedro 4850 San Pedro de la Paz  Concepcion Region Del Bio 4121725
8970,https://www.nike.com/retail/s/nike-ayala-bay,Nike Ayala Bay,"Level 2, Lot 2, Ayala Malls Manila Bay Diosdado Macapagal Blvd, Entertainment City ",Paranaque,Metro Manila,1703,PH,+63 917 822 9611,FRANCHISEE_PARTNER_STORE,14.5225029582933,120.989640885533,"monday:10:00 - 09:00, tuesday:10:00 - 09:00, wednesday:10:00 - 09:00, thursday:10:00 - 09:00, friday:10:00 - 09:00, saturday:10:00 - 09:00, sunday:10:00 - 09:00","Level 2, Lot 2, Ayala Malls Manila Bay Diosdado Macapagal Blvd, Entertainment City  Paranaque Metro Manila 1703"
7629,https://www.nike.com/retail/s/nike-kicks-lounge-costanera-center,Nike Kicks Lounge Costanera Center,Av. Andrés Bello 2465 Shop 4177 ,Santiago,Región Metropolitana,7510689,CL,+56 2 2618 9694,MONO_BRAND_NON_FRANCHISEE_PARTNER_STORE,-33.417451,-70.607292,"monday:10:30 - 05:30, tuesday:10:30 - 05:30, wednesday:10:30 - 05:30, thursday:10:30 - 05:30, friday:10:30 - 05:30, saturday:10:30 - 05:30, sunday:10:30 - 05:30",Av. Andrés Bello 2465 Shop 4177  Santiago Región Metropolitana 7510689
729,https://www.nike.com/retail/s/nike-store-bergamo-orio,Nike By Orio al Serio (Partnered),"Via Portico, 71 Oriocenter ",Bergamo,,24050,IT,+39 35/4596031,FRANCHISEE_PARTNER_STORE,45.66456,9.69557,"monday:09:00 - 10:00, tuesday:09:00 - 10:00, wednesday:09:00 - 10:00, thursday:09:00 - 10:00, friday:09:00 - 10:00, saturday:09:00 - 10:00, sunday:09:00 - 10:00","Via Portico, 71 Oriocenter  Bergamo  24050"
2769,https://www.nike.com/retail/s/nike-store-new-rehovot,Nike Store New Rehovot,Bilu 2 st. Rechovot shopping mall ,REHOVOT,,7644201,IL,03-5386391,FRANCHISEE_PARTNER_STORE,31.893589,34.807438,"monday:09:30 - 09:30, tuesday:09:30 - 09:30, wednesday:09:30 - 09:30, thursday:09:30 - 09:30, friday:09:00 - 03:00, saturday:10:00 - 10:00, sunday:09:30 - 09:30",Bilu 2 st. Rechovot shopping mall  REHOVOT  7644201
948,https://www.nike.com/retail/s/antalya-beka-nike-factory-store,Nike Factory Store Antalya,Altınova Yenigöl Mah. Serik Caddesi Yan Yolu Altınova(Metro) Kavsagı No:28,Muratpaşa ANTALYA,,07160,TR,+90 242 341 20 41,NIKE_OWNED_STORE,36.908108,30.7709,"monday:10:00 - 09:00, tuesday:10:00 - 09:00, wednesday:10:00 - 09:00, thursday:10:00 - 09:00, friday:10:00 - 09:00, saturday:10:00 - 09:00, sunday:10:00 - 09:00",Altınova Yenigöl Mah. Serik Caddesi Yan Yolu Altınova(Metro) Kavsagı No:28 Muratpaşa ANTALYA  07160
947,https://www.nike.com/retail/s/nike-factory-store-warsaw-ursus,Ursus Nike Factory Store,Plac Czerwca 1976 Roku 6  ,Warszawa,,02-495,PL,+48 2247 83110,NIKE_OWNED_STORE,52.201086,20.895377,"monday:10:00 - 09:00, tuesday:10:00 - 09:00, wednesday:10:00 - 09:00, thursday:10:00 - 09:00, friday:10:00 - 09:00, saturday:10:00 - 09:00, sunday:10:00 - 08:00",Plac Czerwca 1976 Roku 6   Warszawa  02-495
2749,https://www.nike.com/retail/s/nike-store-supernova,NSP Supernova,ULICA AKCIJE MASLENICA 1  ,ZADAR,,23000,HR,+00385 23 344 028,FRANCHISEE_PARTNER_STORE,44.116099,15.269868,"monday:09:00 - 09:00, tuesday:09:00 - 09:00, wednesday:09:00 - 09:00, thursday:09:00 - 09:00, friday:09:00 - 09:00, saturday:09:00 - 09:00, sunday:09:00 - 09:00",ULICA AKCIJE MASLENICA 1   ZADAR  23000
3401,https://www.nike.com/retail/s/耐克上海青浦换季优惠店,NIKE上海青浦换季优惠店,青浦区嘉松中路5555号奥特莱斯品牌直销广场B189  ,上海,上海,201703,CN,+86 21-69760296,NIKE_OWNED_STORE,31.156896,121.227597,"monday:10:00 - 09:00, tuesday:10:00 - 09:00, wednesday:10:00 - 09:00, thursday:10:00 - 09:00, friday:10:00 - 09:00, saturday:09:00 - 09:00, sunday:09:00 - 09:00",青浦区嘉松中路5555号奥特莱斯品牌直销广场B189   上海 上海 201703
28450,https://www.nike.com/retail/s/nike-hd-sinchon,나이키 현대 신촌,신촌로 83 현대백화점신촌점  ,서대문구,서울특별시,03789,KR,+82 2 3145 2631,FRANCHISEE_PARTNER_STORE,37.55629118,126.9357802,"monday:10:30 - 07:30, tuesday:10:30 - 07:30, wednesday:10:30 - 07:30, thursday:10:30 - 07:30, friday:10:30 - 08:30, saturday:10:30 - 08:30, sunday:10:30 - 08:30",신촌로 83 현대백화점신촌점   서대문구 서울특별시 03789
1631,https://www.nike.com/retail/s/nike-tonk,Nike Tonk,"Plot No. A-1, Jawahar Nagar Colony, Tonk Road  ",Jaipur,Rajasthan,302018,IN,1-800-344-6453,MONO_BRAND_NON_FRANCHISEE_PARTNER_STORE,26.8685622,75.7969199,"monday:10:00 - 09:00, tuesday:10:00 - 09:00, wednesday:10:00 - 09:00, thursday:10:00 - 09:00, friday:10:00 - 09:00, saturday:10:00 - 09:00, sunday:10:00 - 09:00","Plot No. A-1, Jawahar Nagar Colony, Tonk Road   Jaipur Rajasthan 302018"
135,https://www.nike.com/retail/s/nike-clearance-store-grapevine,Nike Clearance Store - Grapevine,Grapevine Mills 3000 Grapevine Mills Pkwy. Suite 611 ,Grapevine,TX,76051,US,+1 (972) 355-2487,NIKE_OWNED_STORE,32.964627,-97.044235,"monday:10:00 - 09:00, tuesday:10:00 - 09:00, wednesday:10:00 - 09:00, thursday:10:00 - 09:00, friday:10:00 - 09:00, saturday:10:00 - 09:00, sunday:11:00 - 07:00",Grapevine Mills 3000 Grapevine Mills Pkwy. Suite 611  Grapevine TX 76051
3263,https://www.nike.com/retail/s/耐克香港東涌換季優惠店,NIKE香港東涌換季優惠店,"UNIT G01C & 101F"" (新界東涌東薈城 G01C & 101F鋪)  ",香港,香港,0,HK,+852 27079159,NIKE_OWNED_STORE,22.28649,113.94582,"monday:11:00 - 09:00, tuesday:11:00 - 09:00, wednesday:11:00 - 09:00, thursday:11:00 - 09:00, friday:11:00 - 09:00, saturday:11:00 - 09:00, sunday:11:00 - 09:00","UNIT G01C & 101F"" (新界東涌東薈城 G01C & 101F鋪)   香港 香港 0"
4918,https://www.nike.com/retail/s/nike-melbourne-central,Nike Melbourne Central,Melbourne Central Shopping Centre 211 Latrobe St. Shop L02 244,Melbourne,Victoria,3000,AU,(03) 9964 7661,MONO_BRAND_NON_FRANCHISEE_PARTNER_STORE,-37.80994013532038,144.96384859754443,"monday:10:00 - 07:00, tuesday:10:00 - 07:00, wednesday:10:00 - 07:00, thursday:10:00 - 09:00, friday:10:00 - 09:00, saturday:10:00 - 07:00, sunday:10:00 - 07:00",Melbourne Central Shopping Centre 211 Latrobe St. Shop L02 244 Melbourne Victoria 3000
3001,https://www.nike.com/retail/s/nike-clearance-store-osaka-tsurumi,ナイキクリアランスストア 大阪鶴見 - Nike Clearance Store Osaka Tsurumi,鶴見区茨田大宮2-7-70 三井アウトレットパーク大阪鶴見4F ,大阪市,大阪府,538-0031,JP,+81 6 6915 0873,NIKE_OWNED_STORE,34.71252,135.593071,"monday:11:00 - 08:00, tuesday:11:00 - 08:00, wednesday:11:00 - 08:00, thursday:11:00 - 08:00, friday:11:00 - 08:00, saturday:10:00 - 08:00, sunday:10:00 - 08:00",鶴見区茨田大宮2-7-70 三井アウトレットパーク大阪鶴見4F  大阪市 大阪府 538-0031
6422,https://www.nike.com/retail/s/耐克上海南京东路体验店,耐克上海南京东路体验店,上海市南京东路512号  ,上海,上海,200001,CN,+021-63229242,MONO_BRAND_NON_FRANCHISEE_PARTNER_STORE,31.2360611794,121.4805906639,"monday:10:00 - 10:00, tuesday:10:00 - 10:00, wednesday:10:00 - 10:00, thursday:10:00 - 10:00, friday:10:00 - 10:00, saturday:10:00 - 10:00, sunday:10:00 - 10:00",上海市南京东路512号   上海 上海 200001
6104,https://www.nike.com/retail/s/nike-seoul,나이키 서울,명동길 14 눈스퀘어 1층  ,중구,서울특별시,04536,KR,+82 2 3783 4401,NIKE_OWNED_STORE,37.5632417,126.9825313,"monday:10:30 - 09:30, tuesday:10:30 - 09:30, wednesday:10:30 - 09:30, thursday:10:30 - 09:30, friday:10:30 - 09:30, saturday:10:30 - 09:30, sunday:10:30 - 09:30",명동길 14 눈스퀘어 1층   중구 서울특별시 04536
6305,https://www.nike.com/retail/s/nike-factory-store-sao-bernardo,Nike Factory Store - São Bernardo,Rua Garcia Lorca 301 Lj 40 Pauliceia ,Sao Bernardo do Campo,SP,09695-000,BR,+5543686467,NIKE_OWNED_STORE,-23.6709583,-46.5731251,"monday:10:00 - 10:00, tuesday:10:00 - 10:00, wednesday:10:00 - 10:00, thursday:10:00 - 10:00, friday:10:00 - 10:00, saturday:10:00 - 10:00, sunday:12:00 - 08:00",Rua Garcia Lorca 301 Lj 40 Pauliceia  Sao Bernardo do Campo SP 09695-000
2459,https://www.nike.com/retail/s/nike-store-vienna-scs,Nike By Vösendorf (Partnered),Allee 157 / Top 146a Westfield Shopping City Sud ,Vösendorf,Vienna,2334,AT,+43,FRANCHISEE_PARTNER_STORE,48.10802839999999,16.3179302,"monday:09:00 - 07:00, tuesday:09:00 - 07:00, wednesday:09:00 - 07:00, thursday:09:00 - 08:00, friday:09:00 - 08:00, saturday:09:00 - 06:00, sunday:Closed",Allee 157 / Top 146a Westfield Shopping City Sud  Vösendorf Vienna 2334
58312,https://www.nike.com/retail/s/nike-isvill-incheon,나이키 아이즈빌 인천,마장로 489 아이즈빌아울렛 1층 107호  ,부평구,인천광역시,21302,KR,032-511-2094,FRANCHISEE_PARTNER_STORE,37.5218,126.70345,"monday:10:30 - 09:30, tuesday:10:30 - 09:30, wednesday:10:30 - 09:30, thursday:10:30 - 09:30, friday:10:30 - 09:30, saturday:10:30 - 09:30, sunday:10:30 - 09:30",마장로 489 아이즈빌아울렛 1층 107호   부평구 인천광역시 21302
KSA079,https://www.nike.com/retail/s/nike-onaiza,Nike Onaiza,"Ash Shuraymiyyah, Unayzah Saudi Arabia  ",Onaizah,,56219,SA,966548490634,FRANCHISEE_PARTNER_STORE,26.092299,43.974113,"monday:09:30 - 10:30, tuesday:09:30 - 10:30, wednesday:09:30 - 10:30, thursday:09:30 - 10:30, friday:09:30 - 10:30, saturday:09:30 - 10:30, sunday:09:30 - 10:30","Ash Shuraymiyyah, Unayzah Saudi Arabia   Onaizah  56219"
645,https://www.nike.com/retail/s/plaisir-nike-factory-store,Nike Factory Store Plaisir,161 Ave. de Saint-Germain  ,Plaisir,,78370,FR,+33 0176523755,NIKE_OWNED_STORE,48.826819,1.968044,"monday:10:00 - 08:00, tuesday:10:00 - 08:00, wednesday:10:00 - 08:00, thursday:10:00 - 08:00, friday:10:00 - 08:00, saturday:10:00 - 08:00, sunday:10:00 - 07:00",161 Ave. de Saint-Germain   Plaisir  78370
85930,https://www.nike.com/retail/s/nike-ansan-gojan,나이키 안산 고잔,상록구 삼리로 58  ,안산시,경기도,15499,KR,+82 31 419 8244,FRANCHISEE_PARTNER_STORE,37.30512615,126.8459436,"monday:10:30 - 09:30, tuesday:10:30 - 09:30, wednesday:10:30 - 09:30, thursday:10:30 - 09:30, friday:10:30 - 09:30, saturday:10:30 - 09:30, sunday:10:30 - 09:30",상록구 삼리로 58   안산시 경기도 15499
3786,https://www.nike.com/retail/s/耐克苏州人民换季优惠店,NIKE苏州人民换季优惠店,人民路3199号盛博广场一楼A-05店铺  ,苏州,江苏省,215031,CN,+86 512-80683966,NIKE_OWNED_STORE,31.342179,120.612816,"monday:10:00 - 09:00, tuesday:10:00 - 09:00, wednesday:10:00 - 09:00, thursday:10:00 - 09:00, friday:10:00 - 09:00, saturday:10:00 - 09:00, sunday:10:00 - 09:00",人民路3199号盛博广场一楼A-05店铺   苏州 江苏省 215031
3727,https://www.nike.com/retail/s/耐克iapm-kicks-lounge店,NIKE KICKS LOUNGE体验店 (环贸广场),徐汇区淮海中路999号环贸广场4层(L4) 427室  ,上海,上海,200031,CN,+86 21-61003200,NIKE_OWNED_STORE,31.215403,121.458151,"monday:10:00 - 11:00, tuesday:10:00 - 11:00, wednesday:10:00 - 11:00, thursday:10:00 - 11:00, friday:10:00 - 11:00, saturday:10:00 - 11:00, sunday:10:00 - 11:00",徐汇区淮海中路999号环贸广场4层(L4) 427室   上海 上海 200031
KAZ019,https://www.nike.com/retail/s/nike-store-aktau,Nike Store Aktau,16 DISTRICT  ,Aktau,,060000,KZ,77292305313,FRANCHISEE_PARTNER_STORE,43.6520578457774,51.1579957511276,"monday:10:00 - 10:00, tuesday:10:00 - 10:00, wednesday:10:00 - 10:00, thursday:10:00 - 10:00, friday:10:00 - 10:00, saturday:10:00 - 10:00, sunday:10:00 - 10:00",16 DISTRICT   Aktau  060000
802,https://www.nike.com/retail/s/nike-factory-store-durham,Nike Factory Store Durham,Arnison Retail Park Abbey Rd. Pity Me,Durham,,DH1 5GB,GB,+44 191 3867389,NIKE_OWNED_STORE,54.806962,-1.58098,"monday:09:00 - 08:00, tuesday:09:00 - 08:00, wednesday:09:00 - 08:00, thursday:09:00 - 08:00, friday:09:00 - 08:00, saturday:09:00 - 07:00, sunday:10:00 - 04:00",Arnison Retail Park Abbey Rd. Pity Me Durham  DH1 5GB
3613,https://www.nike.com/retail/s/耐克长沙阿波罗换季优惠店,NIKE长沙阿波罗换季优惠店,天心区芙蓉南路三段27号友阿奥特莱斯15101-15104  ,长沙,湖南省,410000,CN,+86 731-82833295,NIKE_OWNED_STORE,28.071167,112.992744,"monday:09:30 - 09:30, tuesday:09:30 - 09:30, wednesday:09:30 - 09:30, thursday:09:30 - 09:30, friday:09:30 - 09:30, saturday:09:30 - 09:30, sunday:09:30 - 09:30",天心区芙蓉南路三段27号友阿奥特莱斯15101-15104   长沙 湖南省 410000
ROM109,https://www.nike.com/retail/s/nike-store-mega-mall,Nike Store Mega Mall,"3-5, Pierre de Coubertin avenue District 2 ",Buchurest,,021901,RO,+ 40 725 999335,FRANCHISEE_PARTNER_STORE,44.4450545698461,26.1506210827672,"monday:08:00 - 08:00, tuesday:08:00 - 08:00, wednesday:08:00 - 08:00, thursday:08:00 - 08:00, friday:08:00 - 08:00, saturday:08:00 - 08:00, sunday:08:00 - 08:00","3-5, Pierre de Coubertin avenue District 2  Buchurest  021901"
5090020,https://www.nike.com/retail/s/nfs-dahisar,NFS Dahisar,"NFS Dahisar, Shop No. 3C, Ground Floor, D B Zone, Western Express Highway, Mira Road East",Thane,Maharashtra,400068,IN,1-800-344-6453,MONO_BRAND_NON_FRANCHISEE_PARTNER_STORE,19.263401,72.874443,"monday:10:30 - 08:30, tuesday:10:30 - 08:30, wednesday:10:30 - 08:30, thursday:10:30 - 08:30, friday:10:30 - 08:30, saturday:10:30 - 08:30, sunday:10:30 - 08:30","NFS Dahisar, Shop No. 3C, Ground Floor, D B Zone, Western Express Highway, Mira Road East Thane Maharashtra 400068"
